Overall Qual,Gr Liv Area,Garage Area,Garage Cars,Total Bsmt SF,1st Flr SF,Year Built,Year Remod/Add,Full Bath,Garage Yr Blt,Mas Vnr Area,TotRms AbvGrd,Id,SalePrice
6,1479,475.0,2.0,725.0,725,1976,2005,2,1976.0,289.0,6,109,130500
7,2122,559.0,2.0,913.0,913,1996,1997,2,1997.0,132.0,8,544,220000
5,1057,246.0,1.0,1057.0,1057,1953,2007,1,1953.0,0.0,5,153,109000
5,1444,400.0,2.0,384.0,744,2006,2007,2,2007.0,0.0,7,318,174000
6,1445,484.0,2.0,676.0,831,1900,1993,2,1957.0,0.0,6,255,138500
6,1888,578.0,2.0,1517.0,1888,1966,2002,2,1966.0,0.0,6,138,190000
6,1072,525.0,2.0,547.0,1072,2005,2006,2,2005.0,82.0,5,2827,140000
5,1188,531.0,2.0,1188.0,1188,1959,1959,1,1959.0,180.0,6,145,142000
5,924,420.0,1.0,924.0,924,1952,1952,1,1952.0,0.0,6,1942,112500
5,2080,504.0,2.0,1040.0,1040,1969,1969,1,1969.0,192.0,9,1956,135000
6,987,264.0,1.0,483.0,483,1971,1971,1,1971.0,232.0,4,1044,85400
7,1208,632.0,2.0,1208.0,1208,2005,2005,2,2005.0,0.0,6,2752,183600
5,2016,576.0,2.0,0.0,1288,1880,2007,1,1900.0,0.0,7,807,131000
8,1607,480.0,2.0,960.0,962,1999,2000,2,2000.0,456.0,7,1177,200000
7,1361,610.0,2.0,1351.0,1361,2007,2007,2,2007.0,0.0,6,1480,193000
5,1430,624.0,2.0,1430.0,1430,2004,2005,2,2004.0,0.0,7,324,173500
5,1344,513.0,3.0,624.0,624,1916,1950,1,1916.0,0.0,7,1311,98000
5,1121,480.0,2.0,1121.0,1121,1963,1963,1,1963.0,0.0,5,770,139000
6,1285,528.0,2.0,660.0,1285,1977,1977,1,1977.0,148.0,7,2063,143500
7,1547,614.0,2.0,756.0,764,2009,2009,2,2009.0,0.0,7,69,215200
